ZINC19836533; 0.306; C#CCNC(=O)c1ccc(cc1)O
ZINC71783082; 0.303; Clc1ccc(cn1)Cn1ccc(=O)c(c1)[N+](=O)[O-]
ZINC34016834; 0.303; CNc1ccc(c(c1)O)C(=O)N
ZINC75596201; 0.303; CCCCC(=O)c1c(O)cccc1O
ZINC75626053; 0.303; CC(=O)c1cc2[C@@H]3C=C[C@H](c2c(c1O)O)C3
ZINC40049092; 0.302; CCONC(=O)CCc1ccccc1
ZINC42384365; 0.300; CN(C(=O)c1cc(N)ccc1O)C
ZINC00030152; 0.299; NC(=O)CC(c1ccccc1)c1ccccc1
ZINC41214014; 0.299; CC[C@@H](c1ccc(cc1)CC)CC(=O)N
ZINC32914855; 0.297; Oc1nc([nH]c(=O)c1)C1CC1
ZINC39224209; 0.297; O=C(c1cccc(c1O)O)c1ccccc1
ZINC48353429; 0.297; O=C(c1ccc(c(c1)Cl)Cl)Cn1cnc(n1)[N+](=O)[O-]
ZINC75566116; 0.297; NC(=O)c1c[nH]c2c1c(O)ccc2
ZINC75562215; 0.294; Oc1cccc(c1)c1ccncn1
ZINC83662146; 0.294; Oc1ccc2c(c1)[C@@H](NCC2)c1c[nH]cn1
ZINC19834670; 0.294; NC(=S)CCN(C(=O)c1ccc(cc1O)Cl)C
ZINC95712044; 0.294; CNC(=O)c1c(N)cccc1O
ZINC32223117; 0.294; CC(=O)c1c(O)c(O)cc2c1cccc2
ZINC49933606; 0.293; NC(=O)CCc1cccc(c1)C
ZINC83452025; 0.292; Oc1cc(C)c(c(c1)C)NCc1ccc(o1)[N+](=O)[O-]
ZINC76600688; 0.292; O=Cc1c(C)[nH]c2c1c(O)ccc2
ZINC21997332; 0.292; O=CC(=C(O)C)Oc1ccccc1
ZINC58421734; 0.292; O=C([C@H]1C[C@H]1[N+](=O)[O-])NC1CCSCC1
ZINC32931951; 0.292; O=C(C1CC1[N+](=O)[O-])NCc1ccc(cc1)Cl
ZINC32931949; 0.292; O=C(C1CC1[N+](=O)[O-])NCc1ccc(cc1)Cl
ZINC02740920; 0.292; Cn1ncc(c1)Cn1cc(c(n1)[N+](=O)[O-])Cl
ZINC75796141; 0.292; Clc1cc2CCN[C@@H](c2cc1O)c1c[nH]cn1
ZINC19093853; 0.292; ClCCC(=O)Nc1cccc(c1)O
ZINC82309539; 0.292; CC[C@]1(CC(=N)C(=O)NC1=O)c1ccc(cc1)N
ZINC68590128; 0.286; Oc1cccc(c1)n1cncn1
ZINC01257596; 0.286; Oc1cccc(c1)C=Nn1c(=S)[nH]nc1c1ccncc1
ZINC82408219; 0.286; O=Cc1cc(C)cc(c1O)N
ZINC84137265; 0.286; N#CC1(CCCC1)NC(=O)[C@H]1C[C@H]1[N+](=O)[O-]
ZINC13957270; 0.286; Cn1c(SCC=C)nc(cc1=O)O
ZINC75796138; 0.286; Clc1cc2CCN[C@H](c2cc1O)c1c[nH]cn1
ZINC95713002; 0.286; CSc1cc(O)cc(c1)C(=O)N
ZINC71010380; 0.286; CN(C(=O)c1ccc(c(c1)O)N)C
ZINC95711381; 0.286; CN(C(=O)c1c(N)cccc1O)C
ZINC75604388; 0.286; CCCC(=O)c1cc(C#N)c(cc1O)N
ZINC95093332; 0.286; Brc1cc(N)c(c(c1)C(=O)N(C)C)O
ZINC33432768; 0.284; NC(=O)CCc1ccc(cc1)Cl
ZINC02036382; 0.283; N#C[C@H](C(=O)N)Cc1ccccc1
ZINC75707104; 0.283; Fc1ccc(c2c1[C@@H](NCC2)c1c[nH]cn1)O
ZINC02569642; 0.283; Cc1cc(N)c(c(c1)C(=O)C)O
ZINC95723033; 0.283; CNc1ccc(cc1O)C(=O)N
ZINC33824863; 0.283; CNc1ccc(cc1O)C(=O)C
ZINC95724721; 0.283; CNc1cc(O)cc(c1)C(=O)N
ZINC95712353; 0.283; CNC(=O)c1ccc(c(c1)C)O
ZINC91365384; 0.283; CCNC(=O)c1cccc(c1O)N
ZINC00058200; 0.283; CCC(=O)c1cc(N)ccc1O
ZINC91351562; 0.280; O=C(c1cccc(c1O)N)N1CCC1
ZINC95723732; 0.280; NC(=O)c1cccc(c1O)CC1CC1
ZINC04276932; 0.280; CC(=O)c1cc2CCCCc2c(c1O)O
ZINC41652419; 0.280; CC(=O)c1cc(N)c(c(c1O)C)C
ZINC37408891; 0.280; CC(=O)NCc1cc(N)ccc1O
ZINC75643525; 0.277; Oc1ccc2c(c1F)[C@H](NCC2)c1c[nH]cn1
ZINC83662147; 0.277; Oc1ccc2c(c1)[C@H](NCC2)c1c[nH]cn1
ZINC58421731; 0.277; O=C([C@@H]1C[C@@H]1[N+](=O)[O-])NC1CCSCC1
ZINC34632885; 0.277; O=C(C1CCCC1)Nc1cnccc1O
ZINC08295860; 0.277; Clc1ccc(cc1)C(=O)Cn1cnc(n1)[N+](=O)[O-]
ZINC04453212; 0.277; Cc1ccc(cc1)[C@@H]1NC(=O)C(=C1C(=O)C)O
ZINC00158049; 0.277; CCC(=O)c1ccc(cc1O)N
ZINC41213859; 0.277; CC([C@H](c1ccc(cc1)C)CC(=O)N)C
ZINC39096447; 0.277; C=CCCC(=O)c1cc(C)cc(c1O)O
ZINC01244853; 0.275; Oc1ccccc1C=Nn1c(=S)[nH]nc1c1cccnc1
ZINC32153033; 0.275; Oc1ccc(cc1c1cc(F)ccc1O)F
ZINC95711433; 0.275; Nc1cc(O)cc(c1)C(=O)N(C)C
ZINC05819010; 0.275; Clc1ccc(cc1)C(=O)C1=C(O)C(=O)O[C@H]1c1ccc(cc1)Cl
ZINC71462806; 0.275; Cc1ccc(c(c1O)C(=O)N)C
ZINC20362700; 0.275; CCOC(=O)c1cc(N)ccc1O
ZINC12359038; 0.275; CCOC(=O)/C=C\c1ccc(c(c1)O)O
ZINC58056635; 0.275; CCCc1nc(O)c(c(=O)[nH]1)N
