ZINC04014260; 0.895; Brc1cc(C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC01704552; 0.893; CN(C(=O)c1cc(ccc1O)[N+](=O)[O-])c1ccccc1
ZINC04014125; 0.884; Clc1cc(ccc1NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-])[N+](=O)[O-]
ZINC04014079; 0.884; Clc1cc(C(=O)Nc2ccccc2[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC18192841; 0.883; Ic1ccc(c(c1)C)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC03154498; 0.883; Clc1ccc(cc1)NC(=O)c1cc(cc(c1O)Cl)[N+](=O)[O-]
ZINC03145113; 0.878; [O-][N+](=O)c1cc(C(=O)Nc2ccc(c(c2)Cl)Cl)c(c(c1)[N+](=O)[O-])O
ZINC01631020; 0.875; Brc1ccc(cc1)NC(=O)c1cc(Br)cc(c1O)[N+](=O)[O-]
ZINC03156559; 0.873; Cc1cccc(c1)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC01848287; 0.869; Clc1ccc(c(c1)Cl)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC97112884; 0.867; Fc1cccc(c1)N(C(=O)c1ccc(c(c1)[N+](=O)[O-])O)C
ZINC04014049; 0.866; Clc1ccc(cc1)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC03154487; 0.864; Clc1ccc(c(c1)NC(=O)c1cc(ccc1O)[N+](=O)[O-])Cl
ZINC04014077; 0.861; Clc1ccc(c(c1)[N+](=O)[O-])NC(=O)c1cc(Cl)cc(c1O)[N+](=O)[O-]
ZINC01634302; 0.853; Clc1cccc(c1)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC97374571; 0.846; CN(C(=O)c1ccc(c(c1)[N+](=O)[O-])O)c1ccc(c(c1)F)F
ZINC04774863; 0.841; Clc1cc(ccc1NC(=O)c1ccc2c(c1O)cccc2)[N+](=O)[O-]
ZINC04014053; 0.838; Clc1cc(ccc1NC(=O)c1cc(ccc1O)[N+](=O)[O-])[N+](=O)[O-]
ZINC04995798; 0.834; Oc1ccc(cc1C(=O)N(c1ccc(cc1)[N+](=O)[O-])C)[N+](=O)[O-]
ZINC04014259; 0.830; Brc1cc(C(=O)Nc2ccc(cc2)[N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
ZINC04014051; 0.826; COc1ccc(cc1)NC(=O)c1cc(ccc1O)[N+](=O)[O-]
ZINC03154486; 0.823; O=C(c1cc(ccc1O)[N+](=O)[O-])Nc1ccc(c(c1)Cl)Cl
ZINC97052687; 0.817; Fc1cccc(c1)N(C(=O)c1cc(ccc1O)[N+](=O)[O-])C
